Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-11 13:49:24.073476,1502,0,0,553,396,0,0,559
Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-11 13:49:24.073641,1502,0,584,553,396,0,inf,559
Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-11 13:49:24.073778,1502,0,0,0,396,0,0,0
2024-01-11 13:49:24.076677,1502,0,584,548,396,0,inf,561
2024-01-11 13:49:24.078117,1606,0,584,548,375,0,inf,561
2024-01-11 13:49:24.078221,1606,0,561,548,375,0,541,561
2024-01-11 13:49:24.085566,1606,0,562,548,375,0,536,561
2024-01-11 13:49:24.102817,1477,0,562,548,383,0,536,561
2024-01-11 13:49:24.103539,1477,0,560,548,383,0,536,561
2024-01-11 13:49:24.104533,1477,0,560,548,383,0,536,564
2024-01-11 13:49:24.122437,1477,0,560,549,383,0,536,563
2024-01-11 13:49:24.126049,1722,0,560,549,385,0,536,563
2024-01-11 13:49:24.128044,1722,0,552,549,385,0,534,563
2024-01-11 13:49:24.148237,1722,0,565,549,385,0,536,560
2024-01-11 13:49:24.148622,1722,0,565,549,385,0,536,560
2024-01-11 13:49:24.149915,1450,0,565,549,398,0,536,560
2024-01-11 13:49:24.166470,1450,0,565,546,398,0,536,566
2024-01-11 13:49:24.172370,1450,0,564,546,398,0,536,566
2024-01-11 13:49:24.174026,1534,0,564,546,371,0,536,566
2024-01-11 13:49:24.193074,1534,0,558,548,371,0,535,572
2024-01-11 13:49:24.191966,1534,0,558,546,371,0,535,566
2024-01-11 13:49:24.198015,1428,0,558,548,418,0,535,572
2024-01-11 13:49:24.211197,1428,0,558,553,418,0,535,563
2024-01-11 13:49:24.216560,1428,0,560,553,418,0,534,563
2024-01-11 13:49:24.222047,1522,0,560,553,385,0,534,563
2024-01-11 13:49:24.237415,1522,0,560,551,385,0,534,566
2024-01-11 13:49:24.237802,1522,0,557,551,385,0,539,566
2024-01-11 13:49:24.245935,inf,0,557,551,392,0,539,566
2024-01-11 13:49:24.256643,inf,0,557,547,392,0,539,568
2024-01-11 13:49:24.261268,inf,0,564,547,392,0,535,568
2024-01-11 13:49:24.269915,1718,0,564,547,392,0,535,568
2024-01-11 13:49:24.280945,1718,0,563,547,392,0,536,568
2024-01-11 13:49:24.281837,1718,0,563,545,392,0,536,561
2024-01-11 13:49:24.293791,1651,0,563,545,385,0,536,561
2024-01-11 13:49:24.300978,1651,0,563,550,385,0,536,564
2024-01-11 13:49:24.305647,1651,0,563,550,385,0,535,564
2024-01-11 13:49:24.318250,1446,0,563,550,368,0,535,564
2024-01-11 13:49:24.325171,1446,0,563,550,368,0,538,564
2024-01-11 13:49:24.325880,1446,0,563,546,368,0,538,561
2024-01-11 13:49:24.341649,1776,0,563,546,368,0,538,561
2024-01-11 13:49:24.345667,1776,0,563,552,368,0,538,566
2024-01-11 13:49:24.348912,1776,0,563,552,368,0,537,566
2024-01-11 13:49:24.365995,1575,0,563,552,374,0,537,566
2024-01-11 13:49:24.370762,1575,0,563,545,374,0,537,563
2024-01-11 13:49:24.374031,1575,0,558,545,374,0,540,563
2024-01-11 13:49:24.388731,1725,0,558,545,365,0,540,563
2024-01-11 13:49:24.389997,1725,0,558,548,365,0,540,568
2024-01-11 13:49:24.393734,1725,0,561,548,365,0,534,568
2024-01-11 13:49:24.412719,1422,0,561,548,383,0,534,568
2024-01-11 13:49:24.413802,1422,0,561,549,383,0,534,569
2024-01-11 13:49:24.417568,1422,0,553,549,383,0,532,569
2024-01-11 13:49:24.436831,1419,0,553,549,401,0,532,569
2024-01-11 13:49:24.439195,1419,0,553,549,401,0,532,567
2024-01-11 13:49:24.441133,1419,0,565,549,401,0,532,567
2024-01-11 13:49:24.458614,1419,0,565,549,401,0,532,563
2024-01-11 13:49:24.461050,1600,0,565,549,376,0,532,563
2024-01-11 13:49:24.466479,1600,0,565,549,376,0,534,563
2024-01-11 13:49:24.482924,1600,0,565,549,376,0,534,571
2024-01-11 13:49:24.483724,1570,0,565,549,403,0,534,571
2024-01-11 13:49:24.485881,1570,0,556,549,403,0,534,571
2024-01-11 13:49:24.508287,1570,0,556,548,403,0,534,561
2024-01-11 13:49:24.509259,1570,0,556,548,389,0,534,561
2024-01-11 13:49:24.510920,1570,0,565,548,389,0,536,561
2024-01-11 13:49:24.528033,1570,0,565,547,389,0,536,565
2024-01-11 13:49:24.530873,1570,0,562,547,389,0,540,565
2024-01-11 13:49:24.533093,1696,0,562,547,389,0,540,565
2024-01-11 13:49:24.553301,1696,0,562,546,389,0,540,567
2024-01-11 13:49:24.555632,1696,0,562,546,389,0,536,567
2024-01-11 13:49:24.556383,1574,0,562,546,380,0,536,567
2024-01-11 13:49:24.572884,1574,0,562,544,380,0,536,566
2024-01-11 13:49:24.574604,1574,0,563,544,380,0,537,566
2024-01-11 13:49:24.579553,1513,0,563,544,362,0,537,566
2024-01-11 13:49:24.597700,1513,0,563,550,362,0,537,570
2024-01-11 13:49:24.599705,1513,0,561,550,362,0,538,570
2024-01-11 13:49:24.603423,1566,0,561,550,374,0,538,570
2024-01-11 13:49:24.616923,1566,0,561,542,374,0,538,566
2024-01-11 13:49:24.619453,1566,0,561,542,374,0,538,566
2024-01-11 13:49:24.627245,1549,0,561,542,419,0,538,566
2024-01-11 13:49:24.640718,1549,0,561,550,419,0,538,561
2024-01-11 13:49:24.644209,1549,0,565,550,419,0,534,561
2024-01-11 13:49:24.653117,inf,0,565,550,385,0,534,561
2024-01-11 13:49:24.663716,inf,0,557,550,385,0,539,561
2024-01-11 13:49:24.666012,inf,0,557,545,385,0,539,565
2024-01-11 13:49:24.675647,1459,0,557,545,377,0,539,565
2024-01-11 13:49:24.685366,1459,0,557,549,377,0,539,569
2024-01-11 13:49:24.688708,1459,0,562,549,377,0,539,569
2024-01-11 13:49:24.700399,inf,0,562,549,418,0,539,569
2024-01-11 13:49:24.708132,inf,0,565,549,418,0,534,569
2024-01-11 13:49:24.710446,inf,0,565,548,418,0,534,568
2024-01-11 13:49:24.723515,1667,0,565,548,374,0,534,568
2024-01-11 13:49:24.729664,1667,0,565,554,374,0,534,567
2024-01-11 13:49:24.731808,1667,0,566,554,374,0,540,567
2024-01-11 13:49:24.747375,1661,0,566,554,397,0,540,567
2024-01-11 13:49:24.755537,1661,0,566,549,397,0,540,562
2024-01-11 13:49:24.757553,1661,0,557,549,397,0,536,562
2024-01-11 13:49:24.771615,1590,0,557,549,392,0,536,562
2024-01-11 13:49:24.774457,1590,0,557,550,392,0,536,566
2024-01-11 13:49:24.776562,1590,0,561,550,392,0,538,566
2024-01-11 13:49:24.795069,1496,0,561,550,394,0,538,566
2024-01-11 13:49:24.799738,1496,0,561,548,394,0,538,565
2024-01-11 13:49:24.802532,1496,0,564,548,394,0,541,565
2024-01-11 13:49:24.818982,1496,0,564,549,394,0,541,565
2024-01-11 13:49:24.819842,1613,0,564,549,388,0,541,565
2024-01-11 13:49:24.822412,1613,0,559,549,388,0,538,565
2024-01-11 13:49:24.844229,1752,0,559,549,364,0,538,565
2024-01-11 13:49:24.846061,1752,0,559,547,364,0,538,566
2024-01-11 13:49:24.846926,1752,0,565,547,364,0,535,566
2024-01-11 13:49:24.863338,1752,0,565,550,364,0,535,560
2024-01-11 13:49:24.865500,1752,0,566,550,364,0,538,560
2024-01-11 13:49:24.867201,1662,0,566,550,381,0,538,560
2024-01-11 13:49:24.887124,1662,0,566,549,381,0,538,569
2024-01-11 13:49:24.890900,1662,0,560,549,381,0,537,569
2024-01-11 13:49:24.892003,1612,0,560,549,408,0,537,569
2024-01-11 13:49:24.910166,1612,0,566,549,408,0,533,569
2024-01-11 13:49:24.912236,1612,0,566,549,408,0,533,566
2024-01-11 13:49:24.915333,1635,0,566,549,382,0,533,566
2024-01-11 13:49:24.932074,1635,0,566,548,382,0,533,558
2024-01-11 13:49:24.934878,1635,0,568,548,382,0,539,558
2024-01-11 13:49:24.939177,1580,0,568,548,382,0,539,558
2024-01-11 13:49:24.954554,1580,0,563,548,382,0,539,558
2024-01-11 13:49:24.956799,1580,0,563,547,382,0,539,570
2024-01-11 13:49:24.963026,1661,0,563,547,386,0,539,570
2024-01-11 13:49:24.976062,1661,0,563,550,386,0,539,566
2024-01-11 13:49:24.979242,1661,0,565,550,386,0,535,566
2024-01-11 13:49:24.987477,1634,0,565,550,397,0,535,566
2024-01-11 13:49:24.999031,1634,0,562,550,397,0,539,566
2024-01-11 13:49:25.001067,1634,0,562,549,397,0,539,570
2024-01-11 13:49:25.011460,1490,0,562,549,411,0,539,570
2024-01-11 13:49:25.020629,1490,0,562,547,411,0,539,563
2024-01-11 13:49:25.023939,1490,0,557,547,411,0,535,563
2024-01-11 13:49:25.035170,1527,0,557,547,380,0,535,563
2024-01-11 13:49:25.043410,1527,0,564,547,380,0,535,563
2024-01-11 13:49:25.045514,1527,0,564,547,380,0,535,563
2024-01-11 13:49:25.059266,1448,0,564,547,354,0,535,563
2024-01-11 13:49:25.065250,1448,0,564,549,354,0,535,570
2024-01-11 13:49:25.068338,1448,0,563,549,354,0,534,570
2024-01-11 13:49:25.083358,1578,0,563,549,405,0,534,570
2024-01-11 13:49:25.087665,1578,0,557,549,405,0,538,570
2024-01-11 13:49:25.090433,1578,0,557,548,405,0,538,567
2024-01-11 13:49:25.106091,1749,0,557,548,379,0,538,567
2024-01-11 13:49:25.110729,1749,0,557,549,379,0,538,563
2024-01-11 13:49:25.112897,1749,0,559,549,379,0,534,563
2024-01-11 13:49:25.129081,1451,0,559,549,386,0,534,563
2024-01-11 13:49:25.132072,1451,0,556,549,386,0,537,563
2024-01-11 13:49:25.133752,1451,0,556,549,386,0,537,561
2024-01-11 13:49:25.153751,1624,0,556,549,431,0,537,561
2024-01-11 13:49:25.157371,1624,0,560,549,431,0,536,561
2024-01-11 13:49:25.159841,1624,0,560,550,431,0,536,563
2024-01-11 13:49:25.176443,1624,0,565,550,431,0,535,563
2024-01-11 13:49:25.178374,1856,0,565,550,382,0,535,563
2024-01-11 13:49:25.179205,1856,0,565,548,382,0,535,568
2024-01-11 13:49:25.201241,1506,0,565,548,377,0,535,568
2024-01-11 13:49:25.203973,1506,0,561,548,377,0,534,568
2024-01-11 13:49:25.205298,1506,0,561,549,377,0,534,560
2024-01-11 13:49:25.221511,1506,0,567,549,377,0,537,560
2024-01-11 13:49:25.224962,inf,0,567,549,392,0,537,560
2024-01-11 13:49:25.228302,inf,0,567,547,392,0,537,565
2024-01-11 13:49:25.246208,inf,0,560,547,392,0,538,565
2024-01-11 13:49:25.247430,inf,0,560,547,392,0,538,563
2024-01-11 13:49:25.248460,1593,0,560,547,382,0,538,563
2024-01-11 13:49:25.266681,1593,0,563,547,382,0,533,563
2024-01-11 13:49:25.271655,1536,0,563,547,377,0,533,563
2024-01-11 13:49:25.272658,1536,0,563,550,377,0,533,559
2024-01-11 13:49:25.290458,1536,0,564,550,377,0,541,559
2024-01-11 13:49:25.291855,1536,0,564,546,377,0,541,562
2024-01-11 13:49:25.295103,1579,0,564,546,387,0,541,562
2024-01-11 13:49:25.310538,1579,0,558,546,387,0,533,562
2024-01-11 13:49:25.317601,1579,0,558,547,387,0,533,564
2024-01-11 13:49:25.319323,inf,0,558,547,402,0,533,564
2024-01-11 13:49:25.334985,inf,0,554,547,402,0,537,564
2024-01-11 13:49:25.336370,inf,0,554,545,402,0,537,567
2024-01-11 13:49:25.341469,1650,0,554,545,369,0,537,567
2024-01-11 13:49:25.354216,1650,0,560,545,369,0,534,567
2024-01-11 13:49:25.361785,1650,0,560,546,369,0,534,566
2024-01-11 13:49:25.364209,1611,0,560,546,355,0,534,566
2024-01-11 13:49:25.379761,1611,0,554,546,355,0,534,566
2024-01-11 13:49:25.380722,1611,0,554,544,355,0,534,562
2024-01-11 13:49:25.388882,1649,0,554,544,406,0,534,562
2024-01-11 13:49:25.398885,1649,0,558,544,406,0,531,562
2024-01-11 13:49:25.406093,1649,0,558,546,406,0,531,560
2024-01-11 13:49:25.412206,1886,0,558,546,387,0,531,560
2024-01-11 13:49:25.422829,1886,0,562,546,387,0,531,560
2024-01-11 13:49:25.425352,1886,0,562,544,387,0,531,555
2024-01-11 13:49:25.434984,1397,0,562,544,416,0,531,555
2024-01-11 13:49:25.446628,1397,0,559,544,416,0,526,555
2024-01-11 13:49:25.449644,1397,0,559,544,416,0,526,557
2024-01-11 13:49:25.458768,1569,0,559,544,398,0,526,557
2024-01-11 13:49:25.471512,1569,0,556,544,398,0,533,557
2024-01-11 13:49:25.475007,1569,0,556,541,398,0,533,560
2024-01-11 13:49:25.483066,1604,0,556,541,392,0,533,560
2024-01-11 13:49:25.493548,1604,0,556,544,392,0,533,558
2024-01-11 13:49:25.494543,1604,0,549,544,392,0,531,558
2024-01-11 13:49:25.506840,1622,0,549,544,383,0,531,558
2024-01-11 13:49:25.519532,1622,0,558,535,383,0,524,551
2024-01-11 13:49:25.520003,1622,0,558,535,383,0,524,551
2024-01-11 13:49:25.530231,1617,0,558,535,354,0,524,551
2024-01-11 13:49:25.539344,1617,0,558,535,354,0,524,552
2024-01-11 13:49:25.543556,1617,0,546,535,354,0,524,552
2024-01-11 13:49:25.553777,1465,0,546,535,368,0,524,552
2024-01-11 13:49:25.563792,1465,0,548,535,368,0,521,552
2024-01-11 13:49:25.564400,1465,0,548,540,368,0,521,548
2024-01-11 13:49:25.577770,1712,0,548,540,359,0,521,548
2024-01-11 13:49:25.586922,1712,0,553,540,359,0,521,548
2024-01-11 13:49:25.588256,1712,0,553,533,359,0,521,548
2024-01-11 13:49:25.600659,1522,0,553,533,357,0,521,548
2024-01-11 13:49:25.608856,1522,0,553,534,357,0,521,550
2024-01-11 13:49:25.610722,1522,0,549,534,357,0,520,550
2024-01-11 13:49:25.624712,1663,0,549,534,384,0,520,550
2024-01-11 13:49:25.634158,1663,0,549,529,384,0,520,548
2024-01-11 13:49:25.634886,1663,0,547,529,384,0,518,548
2024-01-11 13:49:25.648947,1689,0,547,529,324,0,518,548
2024-01-11 13:49:25.653306,1689,0,547,532,324,0,518,541
2024-01-11 13:49:25.658541,1689,0,545,532,324,0,518,541
2024-01-11 13:49:25.673412,1615,0,545,532,376,0,518,541
2024-01-11 13:49:25.678372,1615,0,545,527,376,0,518,539
2024-01-11 13:49:25.685526,1615,0,537,527,376,0,515,539
2024-01-11 13:49:25.696676,1388,0,537,527,353,0,515,539
2024-01-11 13:49:25.697784,1388,0,537,525,353,0,515,541
2024-01-11 13:49:25.706769,1388,0,538,525,353,0,510,541
