Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-09 14:07:49.031936,inf,3146,inf,0,inf,inf,532,0
2024-01-09 14:07:49.032090,inf,3146,inf,557,inf,inf,532,576
Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-09 14:07:49.032199,inf,3146,0,0,inf,inf,0,0
Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-09 14:07:49.032677,inf,0,0,0,inf,0,0,0
2024-01-09 14:07:49.036231,inf,3146,inf,557,inf,inf,475,576
2024-01-09 14:07:49.037815,inf,3146,inf,557,inf,inf,475,570
2024-01-09 14:07:49.037044,inf,3146,inf,557,inf,inf,475,570
2024-01-09 14:07:49.039897,inf,3120,inf,557,inf,309,475,570
2024-01-09 14:07:49.055284,inf,3120,inf,557,inf,309,475,570
2024-01-09 14:07:49.059353,inf,inf,inf,557,inf,299,475,570
2024-01-09 14:07:49.060640,inf,inf,inf,557,inf,299,475,575
2024-01-09 14:07:49.061048,inf,inf,512,557,inf,299,470,575
2024-01-09 14:07:49.076062,2012,inf,512,557,inf,299,470,575
2024-01-09 14:07:49.082321,2012,inf,512,557,inf,294,470,575
2024-01-09 14:07:49.083955,2012,inf,531,557,inf,294,472,575
2024-01-09 14:07:49.085026,2012,inf,531,559,inf,294,472,579
2024-01-09 14:07:49.094141,inf,inf,531,559,inf,294,472,579
2024-01-09 14:07:49.100258,inf,inf,531,559,inf,275,472,579
2024-01-09 14:07:49.107832,inf,inf,514,559,inf,275,469,579
2024-01-09 14:07:49.109428,inf,inf,514,557,inf,275,469,576
2024-01-09 14:07:49.117082,inf,inf,514,557,inf,275,469,576
2024-01-09 14:07:49.123226,inf,inf,514,557,inf,299,469,576
2024-01-09 14:07:49.128853,inf,inf,514,558,inf,299,469,576
2024-01-09 14:07:49.131697,inf,inf,517,558,inf,299,475,576
2024-01-09 14:07:49.135466,inf,inf,517,558,inf,299,475,576
2024-01-09 14:07:49.141888,inf,inf,517,558,inf,278,475,576
2024-01-09 14:07:49.152842,inf,inf,517,560,inf,278,475,575
2024-01-09 14:07:49.156070,inf,inf,505,560,inf,278,481,575
2024-01-09 14:07:49.158015,inf,inf,505,560,inf,inf,481,575
2024-01-09 14:07:49.159537,inf,inf,505,560,inf,inf,481,575
2024-01-09 14:07:49.175863,inf,inf,505,560,inf,302,481,575
2024-01-09 14:07:49.176899,inf,inf,505,554,inf,302,481,579
2024-01-09 14:07:49.177605,inf,inf,505,554,inf,302,481,579
2024-01-09 14:07:49.179617,inf,inf,532,554,inf,302,478,579
2024-01-09 14:07:49.194196,inf,inf,532,554,inf,301,478,579
2024-01-09 14:07:49.199569,inf,inf,532,554,1963,301,478,579
2024-01-09 14:07:49.200502,inf,inf,532,558,1963,301,478,574
2024-01-09 14:07:49.203784,inf,inf,522,558,1963,301,481,574
2024-01-09 14:07:49.217255,inf,2312,522,558,1963,299,481,574
2024-01-09 14:07:49.218339,inf,2312,522,558,inf,299,481,574
2024-01-09 14:07:49.225678,inf,2312,522,558,inf,299,481,573
2024-01-09 14:07:49.227961,inf,2312,508,558,inf,299,476,573
2024-01-09 14:07:49.238290,inf,2312,508,558,inf,299,476,573
2024-01-09 14:07:49.239866,inf,inf,508,558,inf,302,476,573
2024-01-09 14:07:49.244890,inf,inf,508,561,inf,302,476,580
2024-01-09 14:07:49.251660,inf,inf,508,561,inf,302,482,580
2024-01-09 14:07:49.258006,inf,inf,508,561,inf,306,482,580
2024-01-09 14:07:49.258884,inf,inf,508,561,inf,306,482,580
2024-01-09 14:07:49.269265,inf,inf,508,558,inf,306,482,579
2024-01-09 14:07:49.274627,inf,inf,508,558,inf,inf,482,579
2024-01-09 14:07:49.275475,inf,inf,533,558,inf,inf,478,579
2024-01-09 14:07:49.281715,1855,inf,533,558,inf,inf,478,579
2024-01-09 14:07:49.292908,1855,inf,533,560,inf,inf,478,575
2024-01-09 14:07:49.297250,1855,inf,533,560,inf,301,478,575
2024-01-09 14:07:49.299645,1855,inf,505,560,inf,301,482,575
2024-01-09 14:07:49.305167,2776,inf,505,560,2113,301,482,575
2024-01-09 14:07:49.315369,2776,inf,505,560,2113,302,482,575
2024-01-09 14:07:49.316849,2776,inf,505,560,2113,302,482,573
2024-01-09 14:07:49.324080,inf,inf,505,560,inf,302,482,573
2024-01-09 14:07:49.324473,inf,inf,516,560,inf,302,468,573
2024-01-09 14:07:49.338672,inf,inf,516,560,inf,298,468,573
2024-01-09 14:07:49.342744,inf,inf,516,560,inf,298,468,576
2024-01-09 14:07:49.346229,inf,inf,516,560,inf,298,468,576
2024-01-09 14:07:49.347453,inf,inf,517,560,inf,298,472,576
2024-01-09 14:07:49.361364,inf,inf,517,560,inf,292,472,576
2024-01-09 14:07:49.362811,inf,inf,517,560,inf,292,472,577
2024-01-09 14:07:49.369152,inf,inf,517,560,inf,292,472,577
2024-01-09 14:07:49.371182,inf,inf,517,560,inf,292,481,577
2024-01-09 14:07:49.384063,inf,inf,517,560,inf,306,481,577
2024-01-09 14:07:49.385804,inf,inf,517,560,inf,306,481,579
2024-01-09 14:07:49.391600,inf,inf,517,560,inf,306,481,579
2024-01-09 14:07:49.395312,inf,inf,514,560,inf,306,472,579
2024-01-09 14:07:49.402219,inf,inf,514,560,inf,302,472,579
2024-01-09 14:07:49.409677,inf,inf,514,557,inf,302,472,577
2024-01-09 14:07:49.410637,inf,inf,514,557,inf,302,472,577
2024-01-09 14:07:49.418623,inf,inf,514,557,inf,inf,472,577
2024-01-09 14:07:49.419461,inf,inf,510,557,inf,inf,474,577
2024-01-09 14:07:49.428400,inf,inf,510,557,inf,inf,474,577
2024-01-09 14:07:49.433871,inf,inf,510,556,inf,inf,474,578
2024-01-09 14:07:49.436954,inf,inf,510,556,inf,285,474,578
2024-01-09 14:07:49.443230,inf,inf,530,556,inf,285,472,578
